City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Fairlie,GB,55.756,-4.8556,50.4,86,7,1.01,moderate rain
80,Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,73,0,11.5,clear sky
81,Pisco,PE,-13.7,-76.2167,66.25,72,0,8.05,clear sky
82,Impfondo,CG,1.6381,18.0667,71.26,96,99,1.54,moderate rain
83,Rocha,UY,-34.4833,-54.3333,52.29,93,100,16.75,overcast clouds
84,Vaini,TO,-21.2,-175.2,80.76,78,40,8.05,scattered clouds
85,Bubaque,GW,11.2833,-15.8333,78.19,77,97,6.76,overcast clouds
86,Gohpur,IN,26.8833,93.6333,75.4,86,96,2.44,overcast clouds
87,Laguna De Perlas,NI,12.3429,-83.6712,82.49,70,100,8.37,overcast clouds
88,Pevek,RU,69.7008,170.3133,32.41,92,31,9.98,scattered clouds
89,Ascension,US,30.2169,-90.9001,76.26,88,40,8.05,light rain
90,Bethel,US,41.3712,-73.414,73.65,53,0,11.5,clear sky
91,Bredasdorp,ZA,-34.5322,20.0403,58.71,94,92,2.66,light rain
92,Korla,CN,41.7597,86.1469,82.18,17,100,5.57,overcast clouds
93,Chipinge,ZW,-20.1883,32.6236,57.78,64,0,1.99,clear sky
94,Ballina,AU,-28.8667,153.5667,59.77,92,55,6.31,broken clouds
95,Ortakoy,TR,38.7373,34.0387,50.25,64,1,1.32,clear sky
96,Guayaramerin,BO,-10.8368,-65.3614,88.07,48,16,1.99,few clouds
97,Peterhead,GB,57.5058,-1.7981,52.2,72,8,14.09,clear sky
98,Huarmey,PE,-10.0681,-78.1522,68.04,77,16,8.46,few clouds
99,Comodoro Rivadavia,AR,-45.8667,-67.5,42.66,42,0,6.91,clear sky
100,Cayenne,GF,4.9333,-52.3333,84.24,14,0,9.22,clear sky
101,Ilulissat,GL,69.2167,-51.1,39.22,41,40,9.22,scattered clouds
102,Vanimo,PG,-2.6741,141.3028,78.33,83,100,0.54,overcast clouds
103,Goderich,CA,43.7501,-81.7165,64.72,77,100,11.5,overcast clouds
104,Huilong,CN,31.8111,121.655,68.94,77,100,5.44,moderate rain
105,Grand Gaube,MU,-20.0064,57.6608,71.38,77,23,1.99,few clouds
106,Muros,ES,42.7762,-9.0603,61.09,74,19,11.86,few clouds
107,Chuy,UY,-33.6971,-53.4616,59.54,98,100,6.53,overcast clouds
108,Camopi,GF,3.1655,-52.3158,76.26,97,88,2.62,overcast clouds
109,Hithadhoo,MV,-0.6,73.0833,83.08,65,100,3.74,overcast clouds
