City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
523,West Wendover,US,78.01,clear sky,40.7391,-114.0733,"Motel 6 Wendover, UT"
524,Tanabi,BR,77.22,clear sky,-20.6264,-49.6492,Point Hotel em Tanabi - SP
539,Omboue,GA,75.16,broken clouds,-1.5746,9.2618,Hotel Olako
542,Tra Vinh,VN,78.44,overcast clouds,9.9347,106.3453,Hồng Ân
554,Tottori,JP,73.47,overcast clouds,35.5,134.2333,Hotel Monarque Tottori
558,Helena,US,72.18,broken clouds,46.5927,-112.0361,"Holiday Inn Express & Suites Helena, an IHG Hotel"
559,Mbandaka,CD,73.15,overcast clouds,0.0487,18.2603,Guest House Epervier
561,Alyangula,AU,74.41,few clouds,-13.8483,136.4192,Groote Eylandt Lodge
568,Marzuq,YE,76.21,clear sky,14.4,46.4667,
579,Amapa,BR,76.17,few clouds,1.0,-52.0,
583,Samarai,PG,79.39,broken clouds,-10.6167,150.6667,Nuli Sapi
584,Soure,BR,78.84,broken clouds,-0.7167,-48.5233,Casarão da Amazônia
591,Hambantota,LK,79.14,few clouds,6.1241,81.1185,Bungalow 63
592,Aracati,BR,77.5,overcast clouds,-4.5617,-37.7697,Hostel Pousada Ibiza
593,Cocobeach,GA,78.3,overcast clouds,1.0002,9.5823,Hotel Esperance
596,Harper,LR,78.28,light rain,4.375,-7.7169,Screensaver
598,Benghazi,LY,77.49,clear sky,32.1167,20.0667,Tibesti Hotel
599,Tutoia,BR,77.94,clear sky,-2.7619,-42.2744,Pousada Guará's
608,Yangjiang,CN,75.7,overcast clouds,21.85,111.9667,HUALUXE Yangjiang City Center
609,Banjar,ID,77.81,overcast clouds,-8.19,114.9675,The Hamsa Resort
613,Mtambile,TZ,79.18,light rain,-5.3833,39.7,
614,Campoverde,PE,76.69,few clouds,-8.4753,-74.8058,Hospedaje Coral's
624,Tuy Hoa,VN,77.97,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
627,Mitsamiouli,KM,79.83,scattered clouds,-11.3847,43.2844,Foyer ADM
639,Anito,PH,77.52,overcast clouds,12.4497,125.2886,El Felix Cottages
642,Osoyoos,CA,75.04,broken clouds,49.0331,-119.4524,Watermark Beach Resort
643,Labuhan,ID,79.25,overcast clouds,-6.8844,112.2051,DoubleFAG
657,Maumere,ID,79.54,overcast clouds,-8.6199,122.2111,Sylvia Hotel
658,Cleveland,US,77.47,overcast clouds,41.4995,-81.6954,Renaissance Cleveland Hotel
662,Sorong,ID,75.6,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
665,Pemba,MZ,77.7,scattered clouds,-12.974,40.5178,Guesthouse Samotina
667,Lamu,KE,79.02,broken clouds,-2.2717,40.902,Lamu House
678,Srandakan,ID,77.11,overcast clouds,-7.9386,110.2506,Puri Brata
679,Namatanai,PG,79.59,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
